Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.341396
0.270369, 0.0106262, 3.12149, 20.2331, 1.15432, 0.999719, 19.6933, 1.12595, 0.222989, 0.33514, 0.0489979, 0.0950637, 0.6336, 4.79657, 1.12047, 7.76318, 16.1669, 0.0386984, 1.26817, 0.0219381, 0.0411077, 0.488963, 20.9649, 1.95601, 2.22611, 12.9708, 1.00505, 0.0170045, 0.999388, 1.22892, 0.0450028, 0.0444627, 0.0916961, 0.0467232, 0.257532, 2.70837, 17.4686, 2.27313, 0.341396, 1.72696, 1.1574, 1.68217, 2.06561, 1.08097, 2.01591, 1.02871, 1.32325, 0.309565, 2.35819, 3.0096, 

0.270369, 0.0106262, 3.12149, 20.2331, 0.222989, 0.33514, 3.98009, 1.12595, 1.00505, 1.26817, 0.0489979, 0.0950637, 0.6336, 1.12047, 7.76318, 7.39002, 21.8972, 0.0386984, 1.22892, 0.999719, 0.0411077, 0.0977529, 20.9649, 1.95601, 0.0170045, 17.181, 0.529877, 0.257532, 0.0219381, 0.999388, 0.0450028, 0.00594327, 0.0467232, 2.70837, 17.4686, 1.72696, 0.0421932, 1.15432, 0.0916961, 0.341396, 1.1574, 1.68217, 1.08097, 2.01591, 0.685638, 1.32325, 0.309565, 0.488963, 2.22611, 2.27313, 

0.270369, 0.0106262, 20.2331, 3.98009, 1.12595, 1.00505, 5.91739, 0.222989, 0.999388, 1.26817, 0.0489979, 0.0950637, 0.6336, 7.39002, 0.0386984, 1.22892, 0.999719, 1.07879, 2.27313, 0.0916961, 0.0411077, 0.00246771, 8.5347, 0.0170045, 0.529877, 0.0219381, 10.5718, 1.95601, 0.257532, 0.33514, 0.0431201, 0.00594327, 0.0467232, 1.72696, 0.0421932, 1.15432, 0.341396, 2.22611, 1.12047, 1.33205, 1.1574, 1.68217, 1.08097, 0.685638, 1.32325, 0.309565, 0.488963, 1.069, 2.70837, 6.01021, 

0.0106262, 0.239847, 3.98009, 1.00505, 0.222989, 1.26817, 4.26644, 0.341396, 0.529877, 0.0219381, 0.0355806, 0.0950637, 7.39002, 0.0386984, 0.00692222, 0.999719, 2.27313, 1.12595, 0.252464, 0.6336, 0.00983801, 0.00246771, 8.5347, 0.0170045, 1.95601, 0.257532, 16.7179, 1.12047, 0.0916961, 0.33514, 0.0431201, 0.00594327, 0.0467232, 0.0421932, 1.15432, 1.33205, 3.97986, 1.72696, 1.07879, 0.999388, 1.1574, 1.08097, 0.685638, 0.309565, 0.488963, 1.069, 0.270369, 1.06471, 1.88399, 2.22611, 

0.0106262, 0.123689, 3.98009, 1.00505, 1.26817, 0.0219381, 14.1509, 0.108968, 0.341396, 0.222989, 0.0355806, 0.00542749, 0.999719, 1.12595, 0.252464, 0.6336, 0.00398964, 0.153645, 0.257532, 0.44615, 0.00970545, 0.00246771, 8.5347, 0.0170045, 1.95601, 0.0916961, 4.69323, 1.72696, 0.529877, 1.88399, 0.0431201, 0.00594327, 0.0467232, 0.0421932, 1.15432, 1.07879, 0.999388, 0.0386984, 0.33514, 0.00692222, 0.685638, 0.309565, 0.488963, 1.069, 0.270369, 1.06471, 0.0950637, 0.237964, 2.22611, 2.27313, 

0.0106262, 0.123689, 1.26817, 0.0219381, 14.1509, 0.108968, 9.0182, 0.999388, 0.252464, 0.222989, 0.0355806, 0.00542749, 0.999719, 1.12595, 0.6336, 0.257532, 0.44615, 0.153645, 0.341396, 0.0467232, 0.00970545, 0.00246771, 8.5347, 1.95601, 0.529877, 11.732, 12.4053, 1.00505, 0.33514, 0.0170045, 0.0431201, 0.00594327, 0.0421932, 1.15432, 1.07879, 0.0386984, 12.2731, 0.0916961, 0.00398964, 0.00692222, 0.685638, 0.309565, 0.488963, 1.069, 0.270369, 1.06471, 0.0950637, 0.237964, 1.72696, 1.88399, 

0.0106262, 0.117199, 0.0219381, 0.108968, 9.0182, 0.999388, 0.222989, 0.00692222, 0.999719, 0.0166843, 0.0355806, 0.00542749, 0.257532, 0.153645, 0.341396, 0.0467232, 11.0995, 0.0386984, 0.905334, 0.6336, 0.00970545, 0.00246771, 0.529877, 11.732, 8.0258, 0.33514, 19.2065, 1.12595, 1.00505, 1.15432, 0.00594327, 0.00394054, 0.0421932, 1.07879, 12.2731, 0.0916961, 0.0022292, 0.44615, 0.252464, 1.26817, 0.685638, 0.309565, 0.488963, 0.270369, 0.0950637, 0.237964, 0.207429, 0.0431201, 1.72696, 1.88399, 

0.0106262, 0.0374696, 0.0219381, 0.108968, 0.999719, 0.0166843, 0.0663044, 0.905334, 0.252464, 0.0656444, 0.0355806, 0.00542749, 0.257532, 0.153645, 11.0995, 0.0386984, 0.6336, 0.0421932, 1.15432, 0.999388, 0.00970545, 0.00246771, 5.11626, 3.91162, 0.33514, 1.12595, 0.248632, 0.208152, 0.00692222, 1.07879, 0.000134952, 0.00256731, 12.2731, 0.0916961, 0.0022292, 0.44615, 14.6758, 0.529877, 0.341396, 0.0467232, 0.309565, 0.270369, 0.0950637, 0.237964, 0.207429, 0.0431201, 0.117199, 0.0543244, 1.26817, 1.72696, 

0.00602772, 0.0374696, 0.0219381, 0.108968, 0.0166843, 0.0663044, 0.0656444, 0.0022292, 0.257532, 0.00692222, 0.0355806, 0.00500451, 0.6336, 0.0421932, 1.15432, 0.999388, 16.5987, 0.33514, 0.0916961, 0.905334, 0.0089606, 0.00246771, 5.11626, 3.91162, 0.248632, 0.208152, 1.07879, 0.0386984, 0.153645, 0.999719, 0.000134952, 0.00256731, 0.44615, 9.1158, 0.341396, 14.1177, 22.2547, 0.252464, 0.0467232, 0.529877, 0.309565, 0.270369, 0.0950637, 0.237964, 0.207429, 0.0431201, 0.117199, 0.0543244, 1.12595, 1.26817, 

0.00185771, 0.0121648, 0.0219381, 0.108968, 0.0166843, 0.0656444, 21.3099, 0.999388, 0.00692222, 0.0022292, 0.0355806, 0.00500451, 0.0421932, 1.15432, 0.33514, 0.0916961, 19.804, 0.0663044, 0.6336, 0.905334, 0.0089606, 0.00246771, 0.208152, 1.07879, 0.153645, 0.999719, 3.47264, 0.252464, 0.0386984, 0.0467232, 0.000134952, 0.00256731, 8.96715, 0.341396, 22.2547, 0.529877, 20.04, 0.0119135, 0.248632, 0.44615, 0.309565, 0.270369, 0.0950637, 0.237964, 0.207429, 0.0431201, 0.117199, 0.0543244, 1.12595, 1.26817, 

0.00185771, 0.011436, 0.0219381, 0.0656444, 21.3099, 0.999388, 20.2191, 0.0386984, 0.00692222, 0.108968, 0.0355806, 0.00500451, 0.0421932, 0.33514, 0.0916961, 0.0663044, 5.94988, 0.208152, 0.529877, 0.0467232, 0.0089606, 0.00246771, 1.07879, 0.153645, 3.47264, 1.39802, 0.00161241, 0.0435284, 0.0022292, 0.0166843, 0.000134952, 0.00256731, 0.341396, 22.2547, 20.04, 0.248632, 0.44615, 0.0119135, 0.000180058, 0.252464, 0.270369, 0.0896741, 0.237964, 0.207429, 0.0431201, 0.117199, 0.0543244, 0.0121648, 0.6336, 0.905334, 

0.00185771, 0.000125856, 0.0656444, 21.3099, 0.0386984, 0.00692222, 15.0902, 0.0421932, 0.0916961, 0.0219381, 0.0121648, 0.00500451, 5.94988, 0.529877, 0.0467232, 19.7123, 16.0837, 0.0119135, 0.208152, 0.0663044, 0.00674783, 0.00246771, 1.39802, 0.00161241, 0.0022292, 9.84804, 1.87424, 0.108968, 0.0166843, 0.248632, 0.000134952, 0.000483548, 0.341396, 22.2547, 0.44615, 0.252464, 6.40903, 0.000180058, 0.0435284, 0.153645, 0.270369, 0.0896741, 0.237964, 0.207429, 0.0431201, 0.117199, 0.0543244, 0.0355806, 0.33514, 0.6336, 

0.00185771, 0.000125856, 0.0656444, 0.0386984, 0.00692222, 0.0219381, 8.67804, 0.33514, 0.0022292, 0.000180058, 0.00730485, 0.00500451, 0.529877, 0.0467232, 1.56114, 0.208152, 0.0663044, 0.0916961, 0.0421932, 0.44615, 0.00674783, 0.00246771, 1.24564, 0.00161241, 1.87424, 0.248632, 7.08363, 0.108968, 0.6336, 0.551253, 0.000134952, 0.000483548, 0.341396, 0.252464, 6.40903, 0.0435284, 12.0784, 0.153645, 0.0119135, 0.0166843, 0.270369, 0.0896741, 0.237964, 0.207429, 0.0431201, 0.117199, 0.0543244, 0.0355806, 1.13483, 4.22342, 

