Iterations: 200
Function Evaluations Limit: 150000
Population: 100

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.8
Percent Sex: 0.2

Mating Rate: 0.6
Mutation Probability: 0.8
Immigration Rate: 0.2

Percent Group Influence: 0.8
Annealing On: true
Ranked Selection Pressure: 2
Near To Best Random Pressure: 2

Dimensions: 2
N-Dimension Space: -10:10

Fitness Iterations:
14.3201 (Initial Best)

7.97632e-09, 9.13987e-09, 2.88228e-08, 3.86388e-08, 5.27701e-08, 6.34254e-08, 1.27433e-07, 1.82698e-07, 1.99962e-07, 2.50255e-07, 2.99208e-07, 9.9962e-07, 1.17408e-06, 2.06272e-06, 9.77558e-06, 9.12476e-07, 2.75094e-06, 0.00110832, 0.0541972, 0.241984, 1.98383e-05, 0.0091375, 0.0122533, 0.0123587, 0.0133149, 0.115205, 0.14287, 0.157835, 0.172329, 0.442253, 0.534758, 0.559598, 0.596516, 0.610802, 0.673943, 0.733253, 1.02792, 1.06288, 7.61339, 4.93902, 8.11417e-07, 1.10608e-06, 1.65028e-05, 1.90248e-05, 2.01823e-05, 2.11459e-05, 3.64239e-05, 0.000172871, 0.000205873, 0.000247294, 0.000443676, 0.000994392, 0.00105368, 0.0016741, 0.00185377, 2.36716e-05, 0.000139556, 0.165676, 7.56038, 11.5243, 1.69653e-05, 2.24596e-05, 2.37115e-05, 3.78545e-05, 3.96694e-05, 4.49315e-05, 6.7626e-05, 9.43961e-05, 0.000152577, 0.000188997, 0.000212879, 0.000442757, 0.000460806, 0.00075026, 0.00108721, 0.0302402, 0.331239, 23.6812, 27.2694, 1.48372, 0.00493686, 0.0145502, 0.0340809, 0.142506, 2.66274e-06, 0.000423912, 0.0159831, 0.06695, 0.389602, 0.566511, 0.70461, 1.2776, 1.35356, 1.58961, 2.82411, 5.02583, 5.11092, 6.24179, 6.72318, 6.77779, 

6.386e-11, 7.3328e-11, 9.39906e-11, 3.46169e-10, 5.87695e-10, 2.61396e-09, 2.73003e-09, 3.79698e-09, 4.15146e-09, 4.4728e-09, 4.81883e-09, 6.74937e-09, 7.62586e-09, 1.31124e-08, 1.39438e-08, 1.49537e-08, 2.75094e-06, 0.000172775, 0.180069, 7.576, 1.49823e-05, 1.98383e-05, 7.38405e-05, 8.4638e-05, 0.000118841, 0.00017775, 0.000468493, 0.000854929, 0.00144356, 0.00150796, 0.00380523, 0.00510893, 0.00721185, 0.0109825, 0.0133149, 0.0145502, 1.02792, 1.06288, 19.4224, 35.3192, 4.21151e-08, 1.52915e-07, 1.65107e-07, 4.72862e-07, 5.64438e-07, 5.65089e-07, 6.77493e-07, 8.11417e-07, 1.02346e-06, 1.10608e-06, 1.176e-06, 1.69615e-06, 1.70788e-06, 5.08622e-06, 5.53748e-06, 1.89562e-06, 4.25894e-06, 7.56038, 11.5243, 4.13003e-06, 7.42305e-08, 1.42211e-07, 1.72145e-07, 2.16267e-07, 4.29374e-07, 6.98365e-07, 8.44175e-07, 1.34571e-06, 3.66981e-06, 1.09023e-05, 1.35623e-05, 2.71367e-05, 3.78545e-05, 5.12126e-05, 9.66093e-05, 0.00108721, 0.331239, 13.8296, 1.02007, 0.0835009, 0.000160358, 0.00184873, 0.00493686, 0.0010834, 2.66274e-06, 0.000333609, 0.000423912, 0.00110832, 0.00133531, 0.00363608, 0.0159831, 0.06695, 0.160796, 0.165676, 0.389602, 0.566511, 0.70461, 1.2776, 1.35356, 1.48372, 

2.91323e-13, 1.37668e-12, 2.4265e-12, 3.93463e-12, 1.90745e-11, 3.69518e-11, 5.3026e-11, 5.31362e-11, 7.3328e-11, 9.39906e-11, 1.04274e-10, 1.27073e-10, 1.98035e-10, 2.20227e-10, 7.34923e-10, 1.49914e-09, 2.75094e-06, 3.69763e-06, 0.00788213, 1.87735e-07, 1.64748e-07, 6.82747e-07, 1.23116e-06, 2.58206e-06, 6.83536e-06, 8.09879e-06, 8.22491e-06, 9.40538e-06, 1.43089e-05, 1.49823e-05, 3.97695e-05, 8.4638e-05, 9.3761e-05, 0.000160358, 0.000209912, 0.000322701, 0.86571, 1.02792, 1.06288, 43.1047, 1.48082e-09, 8.7967e-09, 1.38513e-08, 1.51416e-08, 1.57631e-08, 3.061e-08, 3.0811e-08, 3.75428e-08, 3.88701e-08, 4.87201e-08, 1.14238e-07, 1.53317e-07, 2.92084e-07, 4.72862e-07, 5.47072e-07, 1.33842e-07, 1.0331e-06, 4.25894e-06, 11.5243, 1.31977e-06, 1.38178e-09, 1.38737e-08, 4.48856e-08, 6.93304e-08, 7.01838e-08, 7.42305e-08, 1.82127e-07, 2.43509e-07, 2.48877e-07, 3.60228e-07, 4.29374e-07, 5.12538e-07, 6.0601e-07, 1.09023e-05, 1.74083e-05, 1.99565e-05, 0.0214703, 0.0294374, 4.11422, 0.0099435, 2.7245e-06, 2.75267e-06, 5.48701e-06, 0.000107487, 1.88399e-06, 2.66274e-06, 6.969e-06, 0.000333609, 0.000423912, 0.00110832, 0.00133531, 0.00363608, 0.00480772, 0.0159831, 0.06695, 0.0835009, 0.160796, 0.165676, 0.169913, 0.389602, 

7.10543e-15, 6.92779e-14, 1.1191e-13, 1.68754e-13, 2.91323e-13, 3.73035e-13, 6.32383e-13, 9.18376e-13, 1.37668e-12, 1.58984e-12, 6.12488e-12, 6.386e-12, 8.95994e-12, 1.05054e-11, 2.63469e-11, 2.96172e-11, 9.51007e-09, 3.69763e-06, 0.000641232, 3.20867e-09, 7.90349e-09, 4.21388e-08, 1.64748e-07, 2.26975e-07, 2.7198e-07, 3.15398e-07, 4.23663e-07, 5.42399e-07, 9.87236e-07, 1.09707e-06, 1.59794e-06, 2.58206e-06, 2.59665e-06, 4.01998e-06, 5.48701e-06, 0.000160358, 0.0270619, 1.06288, 0.0055835, 20.2163, 1.14252e-10, 1.29967e-10, 1.33817e-10, 1.35355e-10, 2.90306e-10, 3.01855e-10, 3.88107e-10, 8.61808e-10, 1.09514e-09, 1.19786e-09, 1.48082e-09, 1.6337e-09, 3.25687e-09, 8.40564e-09, 3.40029e-08, 4.46283e-08, 3.19838e-07, 1.31977e-06, 11.5243, 1.32499e-06, 3.13344e-10, 4.24354e-10, 5.07667e-10, 1.38178e-09, 1.97755e-09, 3.42537e-09, 3.64955e-09, 3.84527e-09, 5.10402e-09, 7.23368e-09, 8.45978e-09, 1.23733e-08, 1.61399e-08, 1.87097e-08, 3.37953e-08, 1.17349e-07, 0.00122036, 0.00180802, 0.000204996, 0.00107248, 9.2141e-09, 1.28644e-07, 8.50513e-07, 1.09301e-06, 4.97301e-08, 1.88399e-06, 2.66274e-06, 2.7356e-06, 2.75094e-06, 3.0803e-06, 6.969e-06, 7.20191e-06, 0.000333609, 0.000423912, 0.00110832, 0.00133531, 0.00363608, 0.00480772, 0.0099435, 0.0159831, 

1.77636e-15, 3.55271e-15, 5.32907e-15, 5.32907e-15, 5.32907e-15, 8.88178e-15, 8.88178e-15, 1.06581e-14, 2.66454e-14, 3.19744e-14, 8.52651e-14, 1.08358e-13, 1.27898e-13, 2.0961e-13, 2.59348e-13, 2.91323e-13, 3.69763e-06, 0.000641232, 8.33484e-11, 4.95863, 2.07729e-10, 1.25304e-09, 4.11408e-09, 4.55874e-09, 5.79815e-09, 7.56253e-09, 7.90349e-09, 1.35807e-08, 2.09568e-08, 3.32126e-08, 3.94262e-08, 4.09927e-08, 7.28886e-08, 7.91356e-08, 1.28644e-07, 3.12145e-07, 0.0270619, 0.333919, 9.52067, 9.98982, 1.56319e-13, 2.39808e-13, 6.00409e-13, 9.32587e-13, 1.91136e-12, 2.22045e-12, 2.47979e-12, 4.12292e-12, 1.20295e-11, 1.39337e-11, 1.44116e-11, 1.61382e-11, 7.70193e-11, 7.95914e-11, 1.33817e-10, 5.95316e-10, 4.21292e-09, 9.32515, 3.01024e-07, 1.9456e-09, 1.48628e-11, 7.18074e-11, 1.00794e-10, 1.07265e-10, 1.1871e-10, 1.63197e-10, 3.05832e-10, 3.13344e-10, 3.35056e-10, 4.6907e-10, 5.07667e-10, 5.35744e-10, 1.97755e-09, 3.64955e-09, 6.79493e-09, 8.45978e-09, 4.70671e-06, 2.84839e-05, 0.00122036, 1.79806e-06, 1.28084e-10, 6.96764e-09, 9.2141e-09, 2.43462e-07, 4.24871e-10, 7.33843e-10, 4.97301e-08, 1.31977e-06, 1.32499e-06, 1.88399e-06, 1.91716e-06, 2.66274e-06, 2.7356e-06, 2.75094e-06, 3.0803e-06, 6.969e-06, 7.20191e-06, 0.000333609, 0.000423912, 0.000642201, 

0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 3.55271e-15, 3.55271e-15, 5.32907e-15, 5.32907e-15, 3.52607e-12, 4.32518e-07, 4.95863, 6.39488e-14, 1.63425e-12, 8.45617e-11, 1.18916e-10, 1.28084e-10, 2.20247e-10, 3.09671e-10, 4.77334e-10, 5.90223e-10, 8.52816e-10, 1.25304e-09, 1.51153e-09, 3.297e-09, 3.66185e-09, 4.55874e-09, 5.79815e-09, 6.96764e-09, 0.0196825, 9.98982, 0.00464618, 0.000986043, 1.77636e-15, 5.32907e-15, 7.10543e-15, 7.10543e-15, 8.88178e-15, 1.06581e-14, 1.77636e-14, 2.13163e-14, 8.88178e-14, 1.97176e-13, 2.61124e-13, 6.32383e-13, 1.17062e-12, 2.80842e-12, 3.33245e-12, 3.36442e-12, 1.69077e-10, 2.8365e-10, 3.01024e-07, 3.98657e-10, 1.79412e-13, 1.98952e-13, 4.86722e-13, 5.13367e-13, 5.9508e-13, 1.62714e-12, 4.02345e-12, 4.18154e-12, 5.85842e-12, 6.13554e-12, 7.57971e-12, 8.83915e-12, 1.45359e-11, 1.87974e-11, 5.55911e-11, 3.13344e-10, 4.38563e-07, 5.32088e-07, 0.00122036, 25.363, 2.35669e-11, 2.71321e-11, 2.17508e-10, 2.07729e-10, 9.33849e-11, 1.05599e-10, 4.24871e-10, 7.33843e-10, 4.97301e-08, 1.02999e-07, 1.42181e-07, 3.73584e-07, 1.31977e-06, 1.32499e-06, 1.79806e-06, 1.88399e-06, 1.91716e-06, 2.66274e-06, 2.7356e-06, 2.75094e-06, 

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55271e-15, 1.48974e-08, 4.95863, 1.77636e-15, 5.32907e-15, 3.39284e-13, 1.63425e-12, 2.11742e-12, 2.33591e-12, 3.09264e-12, 3.16547e-12, 1.19726e-11, 2.51514e-11, 2.79279e-11, 5.78098e-11, 6.35101e-11, 7.85949e-11, 1.8303e-10, 4.31113e-10, 3.66185e-09, 1.09923e-05, 9.72462e-05, 2.5258e-06, 14.0114, 0, 0, 0, 0, 0, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 3.55271e-15, 3.55271e-15, 5.32907e-15, 1.59872e-14, 2.13163e-14, 9.41469e-14, 7.40741e-13, 1.01016e-10, 3.01024e-07, 1.67049e-11, 8.88178e-15, 1.06581e-14, 2.30926e-14, 4.26326e-14, 6.03961e-14, 6.39488e-14, 1.79412e-13, 3.19744e-13, 4.583e-13, 5.9508e-13, 1.36424e-12, 4.18154e-12, 5.85842e-12, 1.36282e-11, 5.55911e-11, 2.07729e-10, 8.18982e-08, 0.00122036, 1.70676e-08, 17.2371, 1.88294e-13, 2.43894e-12, 1.70832e-11, 2.35669e-11, 2.13163e-14, 1.98952e-13, 1.62181e-11, 4.89102e-11, 9.33849e-11, 1.05599e-10, 1.67212e-10, 2.82702e-10, 4.24871e-10, 5.54724e-10, 7.33843e-10, 4.97301e-08, 8.61818e-08, 1.02999e-07, 1.42181e-07, 3.73584e-07, 

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 4.95863, 1.77636e-15, 24.5982, 5.32907e-15, 1.06581e-14, 1.59872e-14, 1.1191e-13, 1.33227e-13, 1.72307e-13, 1.88294e-13, 3.39284e-13, 4.3876e-13, 5.63105e-13, 8.02913e-13, 1.09424e-12, 1.09779e-12, 1.47971e-12, 1.85629e-12, 3.16547e-12, 4.45923e-06, 9.72462e-05, 5.46695, 3.99021e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42109e-14, 7.40741e-13, 2.95231e-12, 3.01024e-07, 0, 0, 1.77636e-15, 1.77636e-15, 3.55271e-15, 8.88178e-15, 8.88178e-15, 1.06581e-14, 2.30926e-14, 3.90799e-14, 5.15143e-14, 5.50671e-14, 6.75016e-14, 9.76996e-14, 1.08358e-13, 3.92575e-13, 8.18982e-08, 0.00122036, 4.50148e-05, 1.08166e-08, 1.77636e-15, 5.32907e-15, 9.05942e-14, 4.08562e-14, 1.77636e-15, 3.55271e-15, 3.55271e-15, 2.13163e-14, 1.98952e-13, 7.86926e-13, 3.77831e-12, 4.90097e-12, 1.62181e-11, 4.89102e-11, 5.75042e-11, 8.98162e-11, 9.33849e-11, 1.05599e-10, 1.53934e-10, 1.67212e-10, 

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 1.77636e-15, 2.16132, 1.77636e-15, 0, 0, 0, 3.55271e-15, 3.55271e-15, 5.32907e-15, 7.10543e-15, 8.88178e-15, 1.77636e-14, 3.37508e-14, 4.08562e-14, 1.33227e-13, 1.66978e-13, 1.7053e-13, 3.39284e-13, 5.63105e-13, 2.32314e-09, 3.47522e-07, 5.46695, 2.76256e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32907e-15, 7.40741e-13, 2.95231e-12, 2.27551e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55271e-15, 5.32907e-15, 2.30926e-14, 5.15143e-14, 5.50671e-14, 1.08166e-08, 8.18982e-08, 5.25492e-07, 2.71689e-05, 0, 3.55271e-15, 3.55271e-15, 1.77636e-15, 0, 1.77636e-15, 1.77636e-15, 3.55271e-15, 3.55271e-15, 3.55271e-15, 5.32907e-15, 2.13163e-14, 1.7053e-13, 1.98952e-13, 6.91003e-13, 7.86926e-13, 3.75699e-12, 3.77831e-12, 4.90097e-12, 1.62181e-11, 

