Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.00185788
9.33533, 0.21929, 3.66253, 12.92, 6.02163, 0.0875222, 0.526216, 22.0978, 5.93009, 0.0565716, 5.04152, 23.7146, 21.2641, 21.7517, 8.33568, 21.8788, 0.0350852, 6.28647, 18.0045, 8.44285, 7.677, 13.7221, 24.1369, 12.4809, 6.71645, 5.14664, 22.1183, 8.96774, 2.65857, 0.779452, 12.8208, 23.219, 2.28063, 24.1476, 15.5484, 9.67726, 18.3988, 0.265867, 0.00185788, 0.185681, 1.64946, 18.3291, 16.4807, 0.0515106, 3.69927, 0.219434, 0.335898, 1.18294, 8.02271, 11.4815, 

0.0218025, 0.0133229, 3.66253, 0.0474624, 0.526216, 5.93009, 0.0565716, 1.88784, 1.07823, 0.188234, 0.219434, 1.16771, 5.27651, 4.78461, 4.16832, 0.0350852, 3.04353, 0.0657392, 0.779452, 0.0248907, 0.0741826, 1.66393, 24.1369, 12.4809, 8.96774, 12.4208, 0.614482, 1.37116, 2.3526, 0.00185788, 0.777845, 1.64946, 2.28063, 7.27722, 0.060454, 22.5385, 2.15435, 1.74944, 1.15111, 0.185681, 3.59871, 1.6294, 0.0515106, 1.41108, 1.18294, 1.87758, 0.335898, 3.63529, 2.65857, 4.78803, 

0.0218025, 0.0133229, 3.66253, 0.526216, 1.51779, 0.0565716, 2.07083, 0.779452, 1.07823, 1.88784, 0.0515106, 0.368279, 5.27651, 4.78461, 0.0657392, 0.523287, 0.535771, 0.729798, 0.0949519, 0.0350852, 0.0741826, 0.602666, 12.6314, 0.614482, 1.09856, 2.3526, 1.43962, 0.188234, 0.0248907, 0.00185788, 0.777845, 0.00896877, 0.060454, 22.5385, 1.15111, 0.112444, 5.88029, 1.74944, 0.0315633, 0.0474624, 1.6294, 0.219434, 1.41108, 0.807987, 0.335898, 1.2487, 1.66393, 1.64946, 2.28063, 2.60598, 

0.0218025, 0.0133229, 0.0565716, 2.07083, 1.88784, 4.72746, 2.99697, 0.614482, 0.0949519, 0.526216, 0.0515106, 0.0157674, 4.78461, 0.535771, 0.729798, 1.66382, 2.00322, 0.0315633, 0.00899784, 0.0112627, 0.0741826, 0.462288, 12.6314, 1.09856, 2.3526, 0.0248907, 0.00185788, 1.43962, 0.779452, 1.40835, 0.00896877, 0.0991102, 0.060454, 0.313403, 0.112444, 0.0474624, 6.85706, 0.0657392, 1.07823, 0.0350852, 1.6294, 0.219434, 1.41108, 0.807987, 0.335898, 1.2487, 0.602666, 0.603231, 1.51779, 1.74944, 

0.014808, 0.0133229, 2.07083, 0.24122, 4.72746, 0.00364114, 0.614482, 0.112444, 0.060454, 0.0350852, 0.0515106, 0.0157674, 0.535771, 1.66382, 0.0315633, 0.0112627, 4.43642, 0.36429, 0.00899784, 0.0565716, 0.00959482, 0.000643026, 12.6314, 0.119547, 0.00185788, 0.0141141, 1.80799, 0.526216, 0.779452, 0.0248907, 0.00896877, 0.0991102, 0.313403, 0.0474624, 0.0657392, 1.07823, 1.95414, 0.0949519, 0.729798, 0.787728, 0.219434, 0.807987, 0.335898, 0.602666, 0.603231, 0.755622, 0.0166407, 0.376563, 1.40835, 1.43962, 

0.014808, 0.0133229, 0.24122, 0.00364114, 0.0482488, 0.112444, 2.95843, 0.0248907, 0.0141141, 0.0350852, 0.0166407, 0.00203904, 0.535771, 0.0112627, 0.36429, 0.00899784, 2.61167, 0.182947, 0.526216, 0.0474624, 0.00622653, 0.000643026, 12.6314, 0.119547, 0.00185788, 0.779452, 1.64491, 0.630271, 0.0315633, 0.0232257, 0.00896877, 0.00220633, 0.0657392, 1.07823, 0.382772, 0.729798, 0.239296, 0.060454, 0.0949519, 0.0565716, 0.219434, 0.335898, 0.602666, 0.603231, 0.0502187, 0.376563, 0.669521, 0.229581, 0.787728, 1.40835, 

0.0133229, 0.0111198, 0.0482488, 0.112444, 0.0141141, 0.00075339, 0.119981, 0.0232257, 0.0350852, 0.24122, 0.00486288, 0.00203904, 2.61167, 0.182947, 0.526216, 0.0474624, 7.93204, 0.000659286, 0.00364114, 0.0248907, 0.000643026, 0.00282342, 0.687907, 0.119547, 8.24111e-05, 0.779452, 0.0315633, 0.0173774, 0.07017, 0.0262535, 0.00896877, 0.00220633, 0.0657392, 1.07823, 0.382772, 0.729798, 0.0565716, 0.060454, 0.0112627, 0.00899784, 0.219434, 0.0502187, 0.229581, 0.0656525, 0.014808, 0.0490927, 0.0950105, 0.0166407, 0.349161, 0.36429, 

0.0111198, 8.33003e-05, 0.0141141, 0.00075339, 0.117764, 0.0194085, 0.0350852, 0.112444, 0.07017, 0.00364114, 0.00486288, 0.000527382, 0.00564157, 2.16189, 0.000659286, 0.0248907, 0.333375, 0.000611921, 0.0171082, 0.0173774, 0.000643026, 0.00282342, 0.687907, 0.119547, 0.0315633, 0.0262535, 3.68068, 0.00899784, 0.0482488, 0.0565716, 0.00896877, 0.00220633, 0.0657392, 0.382772, 0.060454, 0.000463932, 0.349359, 0.120465, 0.0452949, 8.24111e-05, 0.0502187, 0.0656525, 0.014808, 0.0490927, 0.0950105, 0.0166407, 0.0133229, 0.1404, 0.182947, 0.24122, 

9.2587e-05, 8.33003e-05, 0.117764, 0.0194085, 0.0350852, 0.07017, 4.81679, 8.24111e-05, 0.00564157, 0.00364114, 0.000527382, 0.00291306, 2.16189, 0.0248907, 0.000611921, 0.0173774, 0.00194502, 0.0482488, 0.0141141, 0.0315633, 0.000643026, 0.00282342, 0.687907, 0.0262535, 0.00899784, 0.000213062, 1.82451, 0.060454, 0.0171082, 0.0565716, 0.00301427, 0.00220633, 0.382772, 0.000463932, 0.349359, 0.120465, 4.55828, 0.00075339, 0.000659286, 0.0452949, 0.0502187, 0.0656525, 0.014808, 0.0490927, 0.0166407, 0.0133229, 0.00486288, 0.00896877, 0.0657392, 0.112444, 

3.20946e-06, 8.33003e-05, 0.117764, 0.0350852, 4.81679, 8.24111e-05, 8.50347, 0.000213062, 0.0171082, 0.0185198, 0.000527382, 0.00291306, 2.16189, 0.000611921, 0.0033647, 0.0315633, 0.085894, 0.0452949, 0.0173774, 0.0194085, 0.000643026, 0.00282342, 0.128962, 0.0262535, 1.82451, 0.0565716, 0.0213632, 0.00194502, 0.060454, 0.00899784, 0.00301427, 0.00194933, 0.000463932, 0.00237267, 4.55828, 0.00075339, 0.000659286, 0.00564157, 0.0482488, 0.00364114, 0.0502187, 0.014808, 0.0490927, 0.0166407, 0.0133229, 0.00486288, 0.00896877, 0.0216905, 0.0657392, 0.07017, 

3.20946e-06, 2.8779e-05, 0.0350852, 4.81679, 2.61275, 0.000213062, 0.0185198, 0.00124563, 0.00686401, 0.000463932, 0.000527382, 0.00291306, 0.496836, 0.000611921, 0.0033647, 0.0173774, 0.0128656, 0.0171082, 0.00899784, 0.00564157, 0.000643026, 0.00282342, 0.128962, 0.00194502, 0.0394955, 0.00722188, 0.0054388, 0.0213632, 0.0452949, 0.000659286, 0.00301427, 0.00194933, 0.00237267, 0.00075339, 0.0482488, 0.00364114, 1.16364, 8.24111e-05, 0.0315633, 0.0235651, 0.014808, 0.0490927, 0.0166407, 0.0133229, 0.00486288, 0.00896877, 0.0216905, 0.014802, 0.0565716, 0.0657392, 

3.20946e-06, 1.55272e-05, 0.0350852, 3.46572, 0.00124563, 0.00686401, 0.000463932, 8.24111e-05, 0.0180878, 0.00237267, 0.000527382, 0.000643026, 0.000611921, 0.0173774, 0.0171082, 0.00564157, 0.317192, 3.40912e-06, 0.000213062, 0.0185198, 0.000216185, 4.68718e-06, 0.0394955, 0.00722188, 0.0054388, 0.0213632, 0.0985062, 0.0033647, 0.00194502, 0.000659286, 0.00124087, 1.03661e-07, 0.00075339, 1.16364, 0.0315633, 8.72991e-05, 1.19646, 0.00364114, 0.00899784, 0.0128656, 0.014808, 0.0166407, 0.0133229, 0.00486288, 0.00896877, 0.014802, 0.00159914, 0.00194933, 0.0235651, 0.0452949, 

3.20946e-06, 4.79041e-08, 3.46572, 0.000463932, 8.24111e-05, 0.00237267, 1.07309, 0.00686401, 0.0180878, 0.0033647, 0.000527382, 0.000643026, 0.0173774, 0.0171082, 0.00564157, 3.40912e-06, 0.000213062, 0.00899784, 0.00124563, 0.0315633, 0.000216185, 4.68718e-06, 0.00722188, 0.0213632, 0.0985062, 0.00194502, 0.185608, 0.000659286, 8.72991e-05, 0.0185198, 1.03661e-07, 0.000106659, 0.00075339, 0.00364114, 0.0128656, 3.59875e-06, 0.00385125, 0.000611921, 0.0054388, 0.0235651, 0.0133229, 0.00486288, 0.00896877, 0.014802, 0.00159914, 0.00194933, 0.0051008, 0.00124087, 0.0350852, 0.0394955, 

4.79041e-08, 1.95976e-07, 0.00237267, 0.00686401, 0.0180878, 2.03332e-08, 0.139436, 0.00254603, 0.000213062, 8.24111e-05, 3.20946e-06, 8.53887e-08, 0.0173774, 0.00564157, 3.40912e-06, 0.00124563, 0.0315633, 0.00722188, 0.000463932, 0.00364114, 0.000216185, 4.68718e-06, 0.0213632, 0.00194502, 0.185608, 0.000659286, 0.0185198, 8.72991e-05, 3.41367e-05, 0.00899784, 1.03661e-07, 6.76765e-06, 3.59875e-06, 0.000611921, 0.0054388, 0.549102, 5.18291e-06, 0.00075339, 0.00385125, 1.45494e-06, 0.00486288, 0.00896877, 0.00159914, 0.00194933, 0.0051008, 0.00124087, 0.000527382, 0.00227037, 0.0128656, 0.0171082, 

4.79041e-08, 1.95976e-07, 0.00237267, 0.00224546, 8.24111e-05, 0.128751, 6.54869, 0.00124563, 1.45494e-06, 0.000351539, 3.20946e-06, 8.53887e-08, 0.00452724, 0.00564157, 3.40912e-06, 0.000463932, 0.0143612, 0.00364114, 0.00254603, 0.00899784, 0.000216185, 4.68718e-06, 0.0213632, 0.00194502, 0.185608, 8.72991e-05, 3.41367e-05, 0.0054388, 0.00722188, 0.000611921, 1.03661e-07, 6.76765e-06, 3.59875e-06, 0.549102, 5.18291e-06, 0.00075339, 0.00385125, 0.000213062, 0.000659286, 2.03332e-08, 0.00486288, 0.00159914, 0.00194933, 0.0051008, 0.00124087, 0.000527382, 0.00227037, 0.00225564, 0.0128656, 0.0171082, 

4.79041e-08, 1.95976e-07, 8.24111e-05, 6.54869, 0.00124563, 0.000351539, 0.00831383, 0.00364114, 0.00194502, 3.41367e-05, 3.20946e-06, 8.53887e-08, 0.00452724, 0.000463932, 0.0143612, 0.00254603, 0.0809128, 5.18291e-06, 0.00075339, 8.72991e-05, 0.000141587, 4.68718e-06, 0.000563377, 0.0054388, 0.000611921, 0.057212, 8.23984, 0.00224546, 9.80935e-05, 1.45494e-06, 1.03661e-07, 1.00478e-06, 0.0475021, 0.000213062, 0.000659286, 2.03332e-08, 0.13224, 3.40912e-06, 0.00237267, 3.59875e-06, 0.00486288, 0.00159914, 0.00194933, 0.00124087, 0.000527382, 0.00227037, 0.00225564, 0.000324041, 0.00385125, 0.00564157, 

4.79041e-08, 1.95976e-07, 0.000273418, 0.00124563, 0.00831383, 0.00364114, 0.00194502, 6.07039e-05, 0.000563377, 8.24111e-05, 5.98805e-07, 8.53887e-08, 0.00452724, 0.000463932, 5.18291e-06, 8.72991e-05, 7.41068, 7.1432e-05, 2.03332e-08, 3.41367e-05, 0.000141587, 4.68718e-06, 0.0054388, 0.057212, 1.19011, 1.45494e-06, 0.0638314, 9.80935e-05, 8.66055e-05, 0.00126443, 1.03661e-07, 1.00478e-06, 0.000213062, 0.000659286, 3.59875e-06, 4.73131, 2.07478, 0.000351539, 3.40912e-06, 0.000611921, 0.00486288, 0.00159914, 0.00194933, 0.00124087, 0.000527382, 0.00227037, 0.00225564, 0.000324041, 0.00224546, 0.00237267, 

4.79041e-08, 1.95976e-07, 0.00124563, 0.00194502, 6.07039e-05, 0.000563377, 8.24111e-05, 0.00237267, 7.1432e-05, 8.66055e-05, 5.98805e-07, 8.53887e-08, 0.00171009, 5.18291e-06, 8.72991e-05, 2.03332e-08, 0.309224, 0.00224546, 0.000118453, 0.00036942, 0.000141587, 4.68718e-06, 0.057212, 1.45494e-06, 0.0638314, 9.80935e-05, 0.00126443, 0.000659286, 3.41367e-05, 0.00364114, 1.03661e-07, 1.00478e-06, 0.000213062, 3.59875e-06, 2.07478, 3.40912e-06, 0.000611921, 0.000463932, 0.000351539, 0.000273418, 0.00159914, 0.00194933, 0.00124087, 0.000527382, 0.00225564, 0.000324041, 0.000170847, 0.000466554, 0.00534962, 0.0054388, 

4.79041e-08, 1.95976e-07, 0.00124563, 0.00194502, 0.000397966, 0.00237267, 7.1432e-05, 2.48495e-06, 6.07039e-05, 5.18291e-06, 5.98805e-07, 8.53887e-08, 0.00171009, 8.72991e-05, 2.03332e-08, 0.00224546, 0.00036942, 0.000273418, 0.00364114, 1.45494e-06, 0.000141587, 4.68718e-06, 0.0638314, 0.00126443, 0.000659286, 3.41367e-05, 0.00799788, 8.24111e-05, 8.66055e-05, 9.80935e-05, 8.4665e-09, 1.00478e-06, 3.59875e-06, 3.40912e-06, 0.000611921, 0.000463932, 0.00788988, 0.000213062, 0.000351539, 6.69977e-06, 0.00159914, 0.00194933, 0.00124087, 0.000527382, 0.00225564, 0.000324041, 0.000170847, 0.000466554, 0.00534962, 0.0054388, 

4.79041e-08, 3.06225e-08, 0.00124563, 0.00194502, 0.00237267, 2.48495e-06, 0.0592702, 3.59875e-06, 9.80935e-05, 0.000213062, 1.10992e-07, 8.53887e-08, 8.72991e-05, 2.03332e-08, 0.00364114, 0.000270016, 0.0415085, 1.45494e-06, 7.1432e-05, 0.000351539, 4.68718e-06, 6.6438e-05, 0.0638314, 0.000659286, 8.24111e-05, 8.66055e-05, 2.48304, 0.000273418, 0.000397966, 5.18291e-06, 8.4665e-09, 1.00478e-06, 3.40912e-06, 0.000611921, 0.000463932, 6.69977e-06, 0.0134899, 6.07039e-05, 0.00036942, 3.41367e-05, 0.00124087, 0.000527382, 0.000324041, 0.000170847, 0.000466554, 0.00086756, 0.000440944, 0.000141587, 0.000415174, 0.00126443, 

4.79041e-08, 3.06225e-08, 0.00124563, 0.00194502, 0.00237267, 3.59875e-06, 1.35243, 1.45494e-06, 0.000109174, 2.03332e-08, 1.10992e-07, 8.53887e-08, 0.00364114, 0.0415085, 7.1432e-05, 0.333725, 0.33589, 0.000213062, 6.69977e-06, 0.000270016, 4.68718e-06, 6.6438e-05, 0.000659286, 8.24111e-05, 2.48304, 0.000273418, 5.18291e-06, 6.07039e-05, 8.66055e-05, 2.48495e-06, 8.4665e-09, 1.00478e-06, 0.000611921, 0.00036942, 3.41367e-05, 2.25893, 0.292982, 9.80935e-05, 3.40912e-06, 8.72991e-05, 0.000527382, 0.000324041, 0.000170847, 0.000466554, 0.000440944, 0.000141587, 0.000159688, 0.000121334, 0.000351539, 0.000397966, 

4.79041e-08, 3.06225e-08, 0.00124563, 0.00237267, 0.354624, 1.45494e-06, 0.000109174, 2.48495e-06, 0.000451003, 9.80935e-05, 1.10992e-07, 8.53887e-08, 0.00364114, 7.1432e-05, 0.333725, 0.33589, 6.69977e-06, 3.40912e-06, 3.41367e-05, 0.000270016, 4.68718e-06, 5.75501e-05, 8.24111e-05, 0.000273418, 6.07039e-05, 8.66055e-05, 0.500285, 0.000213062, 0.000351539, 0.000397966, 8.4665e-09, 1.00478e-06, 0.000611921, 0.00036942, 0.292982, 8.72991e-05, 0.751702, 3.59875e-06, 5.18291e-06, 2.03332e-08, 0.000527382, 0.000324041, 0.000170847, 0.000466554, 0.000440944, 0.000141587, 0.000159688, 0.000121334, 0.000659286, 0.00194502, 

