Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.00417881
3.0277, 0.0368843, 13.8594, 15.2196, 0.00417881, 0.308288, 17.03, 8.38479, 1.10593, 24.2514, 13.5117, 1.94941, 15.3471, 10.2798, 18.9529, 2.16851, 0.0213736, 2.23758, 15.6927, 10.9559, 0.443695, 0.853631, 9.92804, 2.51319, 17.9166, 2.3732, 13.5395, 10.7428, 6.64664, 14.7191, 19.3161, 9.81451, 2.11244, 4.33325, 21.0312, 0.00656197, 12.3862, 0.837504, 6.6926, 0.257091, 16.1527, 10.7907, 15.449, 0.698321, 0.863983, 8.08297, 1.87498, 13.4599, 1.6181, 12.191, 

0.0010566, 0.00841595, 17.03, 8.38479, 0.236539, 24.2514, 1.17074, 0.819124, 0.394174, 0.176195, 1.30728e-05, 0.175664, 8.88798, 2.16851, 0.0213736, 0.194962, 10.9559, 0.0164748, 0.0548122, 0.00656197, 0.443695, 0.276738, 0.547894, 12.5931, 0.130924, 1.90442, 14.7191, 0.250522, 1.17585, 1.6181, 1.0763, 7.28032, 2.11244, 21.0312, 6.6926, 0.257091, 9.9226, 2.59926, 0.00417881, 0.837504, 1.13623, 0.863983, 0.0368843, 0.698321, 1.80682, 3.5648, 0.795169, 0.453764, 4.33325, 5.25119, 

0.0010566, 0.00841595, 4.02645, 0.236539, 19.756, 0.161787, 0.184253, 0.00417881, 0.252303, 0.547894, 1.30728e-05, 0.00136545, 4.12294, 0.0964418, 6.03825, 0.0548122, 4.75219, 0.0213736, 0.00656197, 0.394174, 0.150651, 0.00351543, 0.189147, 1.42692, 0.171534, 0.250522, 1.6181, 0.0164748, 0.819124, 0.130924, 0.0368843, 0.439243, 21.0312, 6.6926, 0.257091, 9.9226, 2.59926, 0.00163527, 0.029304, 0.176195, 0.863983, 0.698321, 0.453764, 0.15492, 0.0125035, 0.795169, 0.276738, 0.443695, 0.837504, 0.928931, 

0.0010566, 0.00181125, 0.767136, 0.236539, 0.00417881, 0.547894, 0.00728777, 0.0111204, 0.171534, 0.238648, 1.30728e-05, 0.00136545, 1.49569, 6.03825, 0.0548122, 4.54214, 0.0146006, 0.0212116, 0.189147, 0.00163527, 0.0125035, 0.00351543, 1.42692, 1.6181, 0.0164748, 0.819124, 0.130924, 0.0121347, 0.0213736, 0.00656197, 0.0149807, 0.0565158, 21.0312, 9.9226, 0.029304, 0.176195, 10.4531, 0.0731125, 0.000297806, 0.0617342, 0.15492, 0.150651, 0.00841595, 0.202022, 0.0229217, 0.176362, 0.123036, 0.167212, 0.250981, 0.252303, 

6.22215e-06, 0.00181125, 0.00417881, 0.547894, 0.00728777, 0.171534, 3.02067, 0.0179581, 0.0617342, 0.029304, 1.30728e-05, 0.00136545, 0.137015, 0.0548122, 0.0146006, 0.189147, 0.00343243, 0.0164748, 0.018095, 0.00128019, 0.00351543, 0.00514968, 0.819124, 0.0213736, 0.00656197, 0.00652856, 2.29025, 0.0111204, 0.0121347, 0.238648, 0.00841595, 0.0125035, 9.9226, 0.176195, 0.0731125, 0.000297806, 0.298947, 0.00163527, 0.0055847, 0.236539, 0.15492, 0.150651, 0.0149807, 0.0229217, 0.123036, 0.167212, 0.00631809, 0.0565158, 0.250981, 0.252303, 

