Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
4.71587e-07
0.0001005, 5.07813e-05, 0.00538288, 0.0280503, 0.00711036, 0.145302, 3.51444, 0.0120737, 4.71587e-07, 0.0556559, 0.000189325, 0.00104557, 0.0206794, 2.88916, 0.00127287, 0.026931, 0.0104944, 0.00886674, 4.94201e-05, 0.0267103, 0.000339786, 1.70657e-05, 0.457183, 0.00202056, 9.83968e-05, 0.0417847, 2.03524, 0.0442565, 0.000572595, 0.0536908, 3.09313e-05, 0.00127342, 0.00333082, 0.178069, 0.0771748, 6.56516e-05, 0.0146086, 0.000206096, 0.00227347, 0.00643287, 0.0234826, 0.0101164, 0.00828456, 0.00487068, 0.00476411, 0.00274583, 0.0191985, 0.00650625, 0.0797377, 0.120537, 

0.0001005, 5.07813e-05, 0.00538288, 0.145302, 3.51444, 0.0120737, 0.00185065, 3.10775e-07, 0.00711036, 0.0146086, 0.000189325, 0.000339786, 2.88916, 0.00127287, 0.00886674, 4.94201e-05, 1.57535, 0.000572595, 0.000527985, 4.71587e-07, 1.70657e-05, 4.88822e-06, 0.00202056, 9.83968e-05, 2.03524, 0.0536908, 1.67021, 0.000307004, 0.00227347, 0.0206794, 3.09313e-05, 0.000177837, 0.00333082, 0.0771748, 6.56516e-05, 0.00643287, 0.0002793, 0.026931, 0.0104944, 0.000206096, 0.00487068, 0.00476411, 0.00274583, 0.00650625, 0.00248794, 0.00206789, 0.00104557, 0.00127342, 0.0280503, 0.0356102, 

0.0001005, 5.07813e-05, 0.00538288, 0.00185065, 0.00711036, 0.0314995, 0.0026789, 0.00227347, 0.0146086, 0.00333082, 3.99304e-06, 0.000339786, 0.00127287, 0.00886674, 4.94201e-05, 0.000572595, 0.000527985, 5.88117e-05, 0.0120737, 0.0280503, 1.70657e-05, 4.88822e-06, 0.00202056, 9.83968e-05, 2.03524, 0.000307004, 0.0206794, 0.000206096, 0.0536908, 3.10775e-07, 3.09313e-05, 0.000107575, 0.0002793, 0.026931, 0.0104944, 0.00368555, 3.71804, 4.71587e-07, 0.00643287, 0.0356102, 0.00476411, 0.00274583, 0.00248794, 0.00206789, 0.00104557, 0.00127342, 0.00425736, 0.00056601, 0.0771748, 0.145302, 

0.0001005, 5.07813e-05, 0.00538288, 0.00185065, 0.00711036, 0.0314995, 0.00227347, 0.000288029, 4.94201e-05, 0.00368555, 3.99304e-06, 8.44605e-05, 0.00886674, 0.000572595, 5.88117e-05, 0.0120737, 0.0280503, 6.95023e-05, 0.000206096, 0.00074376, 1.70657e-05, 4.88822e-06, 0.00202056, 2.03524, 0.000307004, 3.10775e-07, 0.806682, 0.00127287, 9.83968e-05, 0.000527985, 9.25949e-06, 3.69483e-06, 0.0104944, 3.71804, 4.71587e-07, 0.0356102, 3.26695e-06, 0.0026789, 0.0002793, 0.00333082, 0.00206789, 0.00104557, 0.00127342, 0.00056601, 0.000664205, 0.000339786, 0.000202323, 3.09313e-05, 0.00643287, 0.0146086, 

3.09313e-05, 5.07813e-05, 0.00538288, 0.00711036, 0.000288029, 4.94201e-05, 0.00368555, 0.000527985, 0.000307004, 9.83968e-05, 3.99304e-06, 8.44605e-05, 0.00886674, 0.000572595, 0.0280503, 0.00074376, 0.132941, 7.17918e-05, 0.00185065, 0.00227347, 3.31913e-07, 4.88822e-06, 0.00202056, 0.0143708, 3.10775e-07, 0.806682, 0.00127287, 3.26695e-06, 5.88117e-05, 0.000118355, 3.95551e-06, 3.69483e-06, 3.71804, 0.0356102, 0.0026789, 0.0002793, 0.776764, 4.71587e-07, 6.95023e-05, 0.00333082, 0.00104557, 0.00127342, 0.00056601, 0.000664205, 0.000339786, 0.000202323, 0.0001005, 0.000505129, 0.00643287, 0.0104944, 

3.09313e-05, 5.07813e-05, 0.00538288, 0.000288029, 0.00368555, 0.000527985, 0.027579, 0.000572595, 0.00643287, 3.26695e-06, 6.97113e-07, 8.44605e-05, 0.00886674, 0.00074376, 7.17918e-05, 0.00185065, 0.00227347, 3.10775e-07, 6.95023e-05, 0.00333082, 2.90772e-07, 3.95608e-07, 0.00202056, 0.0143708, 0.00127287, 0.000118355, 3.7894e-07, 0.000307004, 0.0002793, 9.83968e-05, 3.95551e-06, 3.69483e-06, 0.0615744, 0.0026789, 0.776764, 4.71587e-07, 4.53007e-06, 5.88117e-05, 4.94201e-05, 4.83368e-06, 0.00104557, 0.00056601, 0.000664205, 0.000339786, 0.000202323, 0.0001005, 0.000505129, 3.99304e-06, 0.00711036, 0.00829037, 

3.99304e-06, 5.07813e-05, 0.00538288, 0.000527985, 0.00643287, 0.824345, 1.61868, 3.26695e-06, 0.000288029, 4.94201e-05, 6.97113e-07, 4.27435e-06, 0.00886674, 0.0010692, 3.10775e-07, 0.00333082, 0.217252, 9.83968e-05, 2.1029e-07, 5.88117e-05, 2.90772e-07, 3.95608e-07, 0.00202056, 0.0143708, 0.0002793, 0.0367312, 0.0356796, 3.7894e-07, 0.000118355, 6.95023e-05, 3.61871e-06, 4.02476e-07, 0.0615744, 0.0026789, 0.776764, 4.53007e-06, 0.862808, 7.17918e-05, 4.71587e-07, 1.22683e-05, 0.00056601, 0.000664205, 0.000339786, 0.000202323, 0.0001005, 0.000505129, 3.09313e-05, 8.44605e-05, 0.000307004, 0.000572595, 

3.99304e-06, 7.29942e-06, 0.824345, 3.26695e-06, 0.000288029, 0.372612, 8.04353e-06, 0.000572595, 4.94201e-05, 3.7894e-07, 6.97113e-07, 4.27435e-06, 0.00147001, 0.0010692, 3.10775e-07, 0.217252, 9.83968e-05, 8.10135e-06, 0.000118355, 0.000527985, 2.90772e-07, 3.95608e-07, 0.00202056, 0.0002793, 0.000324449, 0.0356796, 0.0186191, 5.88117e-05, 0.000307004, 6.95023e-05, 3.61871e-06, 4.02476e-07, 0.0615744, 0.776764, 4.53007e-06, 4.71587e-07, 2.35899, 2.1029e-07, 0.0026789, 7.17918e-05, 0.00056601, 0.000339786, 0.000202323, 0.0001005, 0.000505129, 3.09313e-05, 8.44605e-05, 1.39158e-05, 0.00333082, 0.00394971, 

3.99304e-06, 3.38246e-06, 3.26695e-06, 0.372612, 8.04353e-06, 3.7894e-07, 4.62122e-06, 0.0002793, 0.000212029, 0.000572595, 6.97113e-07, 4.27435e-06, 0.0010692, 9.83968e-05, 8.10135e-06, 0.000118355, 0.000527985, 2.1029e-07, 3.10775e-07, 0.000307004, 2.90772e-07, 3.95608e-07, 0.00202056, 0.0356796, 5.88117e-05, 0.149432, 0.719308, 0.000324449, 4.94201e-05, 4.71587e-07, 3.94347e-08, 4.02476e-07, 4.53007e-06, 0.0026789, 7.17918e-05, 0.81998, 0.999384, 0.000288029, 6.95023e-05, 0.00147001, 0.000339786, 0.000202323, 0.0001005, 0.000505129, 3.09313e-05, 8.44605e-05, 1.39158e-05, 7.93414e-05, 0.00333082, 0.00394971, 

