Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.00651352
0.000623209, 4.24208e-05, 0.026281, 0.614736, 0.00217942, 0.496159, 0.876907, 7.28129e-07, 0.0476112, 0.00663566, 0.000402213, 0.000483801, 0.191199, 0.130566, 0.0069855, 0.00176783, 0.267543, 0.0102299, 0.00158063, 0.000112229, 0.00477581, 0.00289309, 0.534319, 0.577078, 0.018618, 1.11997, 7.4684, 0.00734136, 0.0926774, 0.00454868, 0.00393474, 0.00447902, 0.00800372, 0.0113039, 0.03796, 9.53742e-08, 0.00468568, 0.00940014, 0.0912583, 2.24918e-05, 0.105822, 0.0417217, 0.105603, 0.0887684, 0.0787006, 0.0383029, 0.0194203, 0.0172101, 0.107411, 0.112098, 

0.000623209, 3.37437e-05, 0.026281, 0.496159, 0.367138, 7.28129e-07, 0.00663566, 0.000112229, 0.112098, 0.107411, 0.000402213, 0.000483801, 0.0069855, 0.00176783, 0.0102299, 0.00158063, 3.7835, 0.00468568, 0.00454868, 0.0166647, 0.00289309, 0.00388144, 0.534319, 1.11997, 7.4684, 0.00734136, 0.0926774, 0.0912583, 0.03796, 2.24918e-05, 0.00393474, 0.00329248, 0.00800372, 0.0113039, 9.53742e-08, 0.00940014, 0.0443577, 0.0476112, 0.00217942, 0.0296342, 0.0417217, 0.0787006, 0.0383029, 0.0194203, 0.0172101, 0.00477581, 0.062989, 0.0252255, 0.130566, 0.191199, 

0.000249233, 3.37437e-05, 0.026281, 0.161372, 0.367138, 7.28129e-07, 0.00663566, 0.0443577, 0.00800372, 0.000112229, 0.000402213, 0.000483801, 0.00176783, 0.0102299, 0.00158063, 0.0142631, 0.00468568, 0.00454868, 0.0113039, 0.0069855, 0.00289309, 0.00388144, 0.534319, 0.00734136, 0.0926774, 2.24918e-05, 2.21447, 0.000157366, 0.00495554, 0.0476112, 0.000564154, 0.00012977, 9.53742e-08, 0.00940014, 0.00197071, 0.0296342, 0.644995, 0.0912583, 0.0305898, 0.0166647, 0.0417217, 0.0383029, 0.0194203, 0.0172101, 0.00477581, 0.0252255, 0.00876225, 0.00393474, 0.107411, 0.112098, 

0.000249233, 3.37437e-05, 0.026281, 0.00663566, 0.00800372, 0.000112229, 0.537577, 9.53742e-08, 0.0305898, 0.000157366, 0.000402213, 0.000483801, 0.00176783, 0.00158063, 0.00468568, 0.00454868, 0.0113039, 0.0166647, 7.28129e-07, 0.0069855, 0.00147975, 0.000622421, 0.0926774, 2.24918e-05, 0.00495554, 0.0476112, 0.00872942, 0.00734136, 0.00252526, 0.0443577, 0.000238281, 0.00012977, 0.00940014, 0.00197071, 0.0296342, 0.0643852, 0.0159742, 0.0912583, 0.00107648, 0.0102299, 0.0194203, 0.0172101, 0.00477581, 0.0252255, 0.00876225, 0.00393474, 0.00289309, 0.0103665, 0.107411, 0.112098, 

3.9775e-05, 3.37437e-05, 0.026281, 0.00663566, 0.00800372, 0.000112229, 0.000157366, 0.00197071, 0.00495554, 0.00107648, 0.000402213, 0.000483801, 0.00176783, 0.0113039, 0.0166647, 0.0069855, 2.70405, 9.53742e-08, 0.00468568, 0.00252526, 0.00117039, 0.000622421, 0.0926774, 2.24918e-05, 0.0476112, 0.0443577, 0.000421594, 0.00734136, 7.28129e-07, 0.00872942, 0.000238281, 0.00012977, 0.0296342, 0.0912583, 0.0102299, 16.0943, 0.702901, 0.00454868, 0.00940014, 0.00158063, 0.0172101, 0.00477581, 0.00876225, 0.00393474, 0.00289309, 0.0103665, 0.00973832, 0.00126518, 0.0159742, 0.0305898, 

3.9775e-05, 3.37437e-05, 0.00663566, 0.00800372, 0.00197071, 0.00107648, 1.5534, 0.00158063, 0.00252526, 9.53742e-08, 0.000402213, 0.000483801, 0.00176783, 0.0113039, 2.70405, 7.11581, 3.21994, 0.000157366, 0.000112229, 0.0069855, 0.00117039, 6.87249e-06, 0.0926774, 2.24918e-05, 0.000421594, 0.00734136, 2.98348, 7.28129e-07, 0.00872942, 0.00454868, 0.000238281, 0.00012977, 0.0912583, 0.0102299, 0.00940014, 3.00963, 2.10383, 0.00495554, 0.0159742, 0.00468568, 0.0172101, 0.00477581, 0.00876225, 0.00393474, 0.00289309, 0.0103665, 0.00973832, 0.00126518, 0.0166647, 0.026281, 

3.9775e-05, 1.55923e-09, 0.00663566, 0.00800372, 0.00158063, 1.28576, 0.0258722, 0.00872942, 0.000421594, 0.00454868, 0.000402213, 0.000483801, 7.11581, 3.21994, 0.000112229, 0.0069855, 0.000912939, 0.00495554, 0.00468568, 0.00197071, 0.00107952, 1.31314e-07, 2.24918e-05, 0.00734136, 7.28129e-07, 2.35534, 9.67458, 9.53742e-08, 0.000157366, 0.00176783, 0.000238281, 0.00012977, 0.0102299, 0.00940014, 3.00963, 2.10383, 0.946965, 0.00107648, 0.0113039, 0.00252526, 0.00477581, 0.00876225, 0.00393474, 0.00289309, 0.0103665, 0.00973832, 0.00126518, 0.00117039, 0.0159742, 0.0166647, 

1.77585e-05, 1.55923e-09, 0.00663566, 0.00158063, 2.7089e-05, 0.00872942, 0.00454868, 0.0038326, 0.000421594, 0.00940014, 0.000402213, 0.000483801, 0.129655, 2.66247, 0.0069855, 0.000912939, 0.00197071, 0.00468568, 0.000112229, 0.00495554, 0.000905011, 1.31314e-07, 2.24918e-05, 7.28129e-07, 9.53742e-08, 0.00176783, 4.79666, 0.00800372, 0.000157366, 0.0102299, 0.00014154, 0.00012977, 3.00963, 2.10383, 0.946965, 0.00252526, 8.59067, 0.0113039, 0.00107648, 0.00493686, 0.00477581, 0.00876225, 0.00393474, 0.00289309, 0.00973832, 0.00126518, 0.00117039, 0.00315336, 0.0159742, 0.0166647, 

1.77585e-05, 1.55923e-09, 2.7089e-05, 0.0038326, 0.000421594, 0.00940014, 0.00784132, 0.00495554, 0.00663566, 0.00197071, 0.000402213, 0.000406105, 0.129655, 0.0069855, 0.000112229, 0.75995, 0.18605, 0.00176783, 0.00107648, 0.00468568, 1.31314e-07, 3.34391e-05, 7.28129e-07, 0.00800372, 0.000157366, 20.4441, 5.07556e-05, 0.000912939, 9.53742e-08, 0.00454868, 0.00014154, 0.00012977, 2.10383, 8.59067, 0.0113039, 0.00493686, 0.13153, 2.24918e-05, 0.00252526, 0.00158063, 0.00477581, 0.00393474, 0.00289309, 0.00126518, 0.00117039, 0.00315336, 0.000465228, 0.000905011, 0.00872942, 0.0102299, 

1.77585e-05, 1.55923e-09, 0.0038326, 0.00940014, 0.00784132, 0.00287418, 0.00197071, 0.00107648, 0.000112229, 0.00465504, 0.000402213, 0.000406105, 0.129655, 0.0069855, 0.0106369, 0.18605, 0.00468568, 7.28129e-07, 0.00176783, 0.00252526, 1.31314e-07, 3.34391e-05, 0.000912939, 9.53742e-08, 0.00454868, 0.753689, 1.58094, 2.7089e-05, 0.000421594, 5.07556e-05, 0.00014154, 0.00012977, 8.59067, 0.00493686, 0.13153, 0.00158063, 7.32774, 0.000157366, 2.24918e-05, 0.00139711, 0.00289309, 0.00126518, 0.00117039, 0.00315336, 0.000465228, 0.000905011, 0.00303153, 0.0019604, 0.00495554, 0.00800372, 

