Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
2.18016e-05
1.36128, 0.144895, 0.0192851, 5.64482, 11.3453, 2.17625, 0.0285879, 3.74262, 17.2167, 5.5291, 1.76821, 0.240488, 0.669704, 4.07807, 2.90247, 18.8891, 4.50703, 1.57828, 14.1686, 3.37079, 0.880295, 0.604858, 12.1359, 2.18016e-05, 3.6936, 1.44534, 3.48652, 2.0081, 19.3466, 3.37352, 13.815, 18.0424, 22.4231, 12.4791, 2.83169, 5.89721, 9.27268, 4.66641, 5.0938, 3.12053, 0.000719557, 6.54818, 0.00161917, 0.561796, 13.8878, 0.69507, 4.22557, 2.50642, 1.92135, 0.687608, 

0.000719557, 0.00161917, 0.0192851, 1.48863, 1.21322, 1.41691, 0.371677, 2.78063, 3.37352, 1.92135, 0.27736, 0.240488, 2.00078, 4.50703, 1.57828, 3.37079, 8.61572, 1.98374, 0.669704, 3.30417, 0.28458, 0.150153, 11.2225, 2.18016e-05, 3.48652, 2.0081, 0.662897, 0.687608, 0.892838, 2.26972, 2.42485, 0.00211031, 1.06491, 2.83169, 4.66641, 3.12053, 0.829708, 0.00102181, 1.44534, 1.29279, 0.17804, 0.880295, 0.144895, 0.561796, 0.69507, 0.605523, 1.31518, 0.492764, 3.93082, 4.07807, 

0.000719557, 0.00161917, 1.48863, 1.12469, 0.371677, 0.263789, 0.00485418, 0.662897, 0.205815, 0.00516889, 0.0710923, 0.140598, 0.0208296, 0.162221, 3.37079, 1.98374, 3.30417, 0.00102181, 0.892838, 0.669704, 0.144895, 0.248287, 0.564863, 2.18016e-05, 2.26972, 0.430889, 0.711572, 0.759803, 0.381761, 0.687608, 0.00211031, 0.27736, 2.83169, 4.66641, 0.829708, 1.29279, 1.06295, 0.0328101, 0.618721, 0.0192851, 0.226335, 0.150153, 0.561796, 0.103989, 0.00507298, 0.554623, 0.447818, 0.159441, 1.06491, 1.41691, 

0.000719557, 0.000624065, 1.48863, 0.371677, 0.662897, 0.0504593, 3.66667, 0.00485418, 0.00754805, 0.204673, 0.00507298, 0.03567, 0.0208296, 0.279354, 0.193984, 0.205228, 0.00178297, 0.00102181, 0.0184208, 0.26049, 0.0736912, 0.159441, 0.564863, 2.18016e-05, 0.430889, 0.759803, 0.381761, 0.258407, 0.00498604, 0.162221, 0.00211031, 0.150153, 1.7978, 0.0191782, 1.06295, 0.0328101, 0.0192851, 0.00516889, 0.263789, 0.262783, 0.248287, 0.27736, 0.144895, 0.0710923, 0.447818, 0.226335, 0.0164139, 0.103989, 0.618721, 0.711572, 

0.000609458, 0.000624065, 1.48863, 0.662897, 3.50729, 0.00754805, 0.164228, 0.0504593, 0.0192851, 0.0443987, 0.00507298, 0.03567, 0.165797, 0.00178297, 0.0184208, 0.0319628, 0.658074, 0.00485418, 0.162221, 0.00561862, 0.0710923, 0.0727711, 2.18016e-05, 0.759803, 0.191596, 0.184407, 0.00498604, 6.26165e-07, 0.00516889, 0.00102181, 0.000191787, 0.0164139, 0.0191782, 1.06295, 0.263789, 0.440735, 0.500621, 0.000869355, 0.127586, 0.0328101, 0.159441, 0.0736912, 0.226335, 0.150153, 0.144895, 0.103989, 0.0807435, 0.185432, 0.180164, 0.193984, 

